snapshot_utc,snapshot_server,label,section,key,value,unit,notes
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_0.25pct_pct_reference_equity,0.0050,percent,Mechanical feasibility only; not a strategy test.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_0.50pct_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_0.50pct_gross_loss,0.0900,USD,OrderCalcProfit; excludes commission, swap, and added slippage stress.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_0.50pct_pct_reference_equity,0.0090,percent,Mechanical feasibility only; not a strategy test.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_1.00pct_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_1.00pct_gross_loss,0.1900,USD,OrderCalcProfit; excludes commission, swap, and added slippage stress.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_1.00pct_pct_reference_equity,0.0190,percent,Mechanical feasibility only; not a strategy test.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_2.00pct_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_2.00pct_gross_loss,0.3700,USD,OrderCalcProfit; excludes commission, swap, and added slippage stress.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_2.00pct_pct_reference_equity,0.0370,percent,Mechanical feasibility only; not a strategy test.
